"osm_id","fclass","name","type","geometry"
"72559844","rail","Ramal Cimpor","railway","010500000001000000010200000014000000D9846A39867241C06941DE61C9831CC0BC04A73E907241C04F6DBAAF14831CC0619390A3947241C08BF1AB83CD821CC03DD11A28957241C0F45E6BA5C6821CC04DE8E4FB987241C0E4D308A293821CC019D69EA39F7241C08498F0F043821CC069D086B2A67241C056C50A6DEF811CC084C99E4EC37241C08A54BDA195801CC0CFB06202C87241C082FC112B48801CC0D553F53CC97241C007E11B542C801CC039A39C1ECA7241C084AB4DAD08801CC08DFD1B6ACA7241C00C23BDA8DD7F1CC069F926F2C97241C011F9D3EBBB7F1CC06913CC3DC97241C009A52F849C7F1CC0BE175FB4C77241C014A80F6E7C7F1CC09BEB8F8BC57241C0B7ED7BD45F7F1CC00DC74ED3C27241C066AD5747447F1CC074B2D47ABF7241C0A235502A2B7F1CC017FEC2E1BB7241C0C1EC54AF117F1CC072F90FE9B77241C02D0D5762F97E1CC0"
"43041775","river","Rio Gramame","waterway","010500000001000000010200000011000000E5130DADA97841C0BBE70A009FF91CC0920145D1A87841C0DA4B643090F91CC05F002BD1A37841C0184ADC195CF91CC01C02EC489A7841C0E85322E417F91CC04A9C700A867841C0D6146D33BAF81CC0BB31F3D36E7841C0066E934039F81CC013549E8A657841C04E85D3DDD0F71CC0DEB6A5C4647841C0959C137B68F71CC0EC4B361E6C7841C05062C6CA1EF71CC0BB31F3D36E7841C024CF9AC4C5F61CC06FF3C649617841C0C5ED2B6A8BF61CC06D42B51C437841C00C0D7A257FF61CC0E36025D52D7841C00C056C0723F61CC09DA4541DCD7741C0B4D2FFCDE6F41CC0A1489CBA977741C06E90A4FF40F41CC05087BAB4867741C0B78CE5A782F31CC040D4C78D6C7741C04E362F9809F01CC0"
"43041785","river","Rio Paraíba","waterway","010500000001000000010200000004000000B1AC8FE2777241C0D860866B5A661CC032456FA7637241C0A9D326F334651CC0FC123B64147241C06B11514CDE601CC02B8B1DE8FC7141C0B5424761CD5F1CC0"
"30554038","primary","Avenida Presidente Epitácio Pessoa","road","010500000001000000010200000002000000B55EC2572A6C41C0B081BE3E847A1CC0C7E8CAB1066C41C0F9DDCF84817A1CC0"
"30554372","tertiary","Avenida Piauí","road","010500000001000000010200000002000000A737482D396D41C098C0ADBB797A1CC04E4EA37F386D41C0ECD8AD0A79791CC0"
"30554497","tertiary","Rua Joaquim Pires","road","0105000000010000000102000000030000003C951D2CAD6D41C0DEA4B3DD4E6C1CC038E4558CA96D41C08333F8FBC56C1CC064FFE153A56D41C030F9FAB5506D1CC0"
"128231004","stream","Rio Laranjeiras","waterway","0105000000010000000102000000090000006F1F03C3036D41C00E40B4A041A41CC06786E86BF16C41C08A496E032DA31CC0E0466F5DD66C41C0586C38D153A11CC0459B8823B46C41C09107C7D1C19F1CC00AEDE6F39B6C41C0A51E5844039F1CC0BB9C1210936C41C01A3F43EED89E1CC0997E2EBF786C41C0D8648D7A889E1CC017CEDA125E6C41C0216AEC5C629E1CC0261EABEF576C41C043BB54B6599E1CC0"
"201153298","river","Rio Preto","waterway","010500000001000000010200000002000000DC0429C2977A41C09340DE0610791CC00E750E547C7A41C098F5076FB4781CC0"
"228733180","river","Rio Marés","waterway","010500000001000000010200000003000000F14D2E217A7441C086713788D69A1CC0636B6C65787441C03A03232F6B9A1CC0ECF25256787441C007CEBE97679A1CC0"
"228849837","river","Rio Mandacaru","waterway","010500000001000000010200000014000000ADA179A5D16E41C0730E9E094D521CC033E02C25CB6E41C050DAC0C2EE501CC0BA6CCF87C26E41C04B3151CE61501CC07F34F7EBA96E41C03C461E2D734F1CC0CC6E1C67896E41C0DD9156218A4E1CC065B3D9475D6E41C0AFA591E0574E1CC03DCF447D376E41C0BFF2203D454E1CC05E3CCD13196E41C065EBCF34174E1CC068B27F9E066E41C04B8F4BC1BF4D1CC0E512A2D7FA6D41C00F75C4C6614D1CC036583849F36D41C0AAB5300BED4C1CC05DEAD621ED6D41C03C026ECCA14B1CC0A607AAEBF56D41C0CE001764CB4A1CC05D86FF74036E41C0822E2B5E76491CC0329FBD44066E41C0F5E85784AC481CC08EF62E94026E41C069F926F2C9471CC07F750B13FC6D41C019E59997C3461CC0F74C405DEE6D41C0584D7C5AEA451CC022B2FE85D46D41C0C8C0F00005451CC0ECA93011CA6D41C082F22D628E441CC0"
"368779876","river","Rio Paraíba","waterway","010500000001000000010200000005000000AFC3E281127D41C065485F52C6791CC0B883C76DEA7C41C0C4B5357DD1791CC0733914F4CD7C41C0988E94884B791CC05A0AED41AD7C41C05826570CB2781CC0D4F3C9E59A7C41C016BB229D26781CC0"
"438855003","river","Rio Gramame","waterway","010500000001000000010200000003000000B7483547B17141C056421C9029DC1CC0D0C3BFBE8C7141C0050E0D3098DC1CC0472DDED9687141C057C6D0FB10DD1CC0"
"483306948","river","Rio Mumbaba","waterway","01050000000100000001020000004A000000DAF4B1CC6C7441C09831056B9CD51CC09B560A815C7441C0BDA94885B1D51CC053591476517441C0E5F1B4FCC0D51CC0925B936E4B7441C0C85D8429CAD51CC065A71FD4457441C0B1868BDCD3D51CC05CC98E8D407441C09BAF928FDDD51CC0054EB6813B7441C08995D1C8E7D51CC096422097387441C0C8B4368DEDD51CC087DBA161317441C05CE7DF2EFBD51CC0BFB854A52D7441C034D93F4F03D61CC07940D9942B7441C0EA5C514A08D61CC014AFB2B6297441C0A69D9ACB0DD61CC02191B6F1277441C0E4BCFF8F13D61CC06F62484E267441C0A6BA809719D61CC095D40968227441C050E1085229D61CC05B0A48FB1F7441C04A41B79734D61CC07F1475E61E7441C0068200193AD61CC0E50D30F31D7441C045A165DD3FD61CC0EBFEB1101D7441C083C0CAA145D61CC033DFC14F1C7441C044BE4BA94BD61CC01CB7989F1B7441C0899AE8F351D61CC0A58636001B7441C05512D90759D61CC0FED137691A7441C02E04392861D61CC0581D39D2197441C08E91EC116AD61CC0BE16F4DE187441C0CDCD37A27BD61CC05985CD00177441C000CADFBDA3D61CC08FFAEB15167441C0338CBB41B4D61CC0F5F3A622157441C0D238D4EFC2D61CC019FED30D147441C0FF3D78EDD2D61CC06937FA980F7441C08D2782380FD71CC07619FED30D7441C0A4552DE928D71CC0AC8E1CE90C7441C03D450E1137D71CC023F3C81F0C7441C04E999B6F44D71CC00CCB9F6F0B7441C0DC0E0D8B51D71CC06616A1D80A7441C065C746205ED71CC013F06B24097441C00F289B7285D71CC049658A39087441C09DBAF2599ED71CC0268FA7E5077441C020B6F468AAD71CC0A3B08BA2077441C01A16A3AEB5D71CC061C1FD80077441C08CDAFD2AC0D71CC0C1C93670077441C0FE9E58A7CAD71CC0C1C93670077441C0427BF5F1D0D71CC002B9C491077441C091D10149D8D71CC049658A39087441C01AA721AAF0D71CC05BD07B63087441C0FD12F1D6F9D71CC0FCC74274087441C0DBC1887D02D81CC08B54185B087441C0ADF6B0170AD81CC0D8F15F20087441C07A6EA12B11D81CC0B51B7DCC077441C047E6913F18D81CC050560C57077441C0145E82531FD81CC07A1D71C8067441C0E692AAED26D81CC03271AB20067441C03BA6EECA2ED81CC0DA59F44E057441C014984EEB36D81CC0C3651536037441C0E02C25CB49D81CC0C9569753027441C02AC6F99B50D81CC0EE60C43E017441C0F73DEAAF57D81CC0A25F5B3FFD7341C06362F3716DD81CC032207BBDFB7341C046CEC29E76D81CC0D34B8C65FA7341C035B401D880D81CC0D47FD6FCF87341C0B8AF03E78CD81CC016A3AEB5F77341C0BE89213999D81CC065A88AA9F47341C00D1AFA27B8D81CC0138255F5F27341C03562669FC7D81CC049F7730AF27341C007978E39CFD81CC07F6C921FF17341C0CE5147C7D5D81CC0855D143DF07341C00D71AC8BDBD81CC0BBD23252EF7341C0C3F4BD86E0D81CC0EC8A19E1ED7341C00D8E9257E7D81CC0ECBE6378EC7341C05CE49EAEEED81CC08EEA7420EB7341C02F19C748F6D81CC0FF91E9D0E97341C0070B2769FED81CC012312592E87341C0DFFC868906D91CC0F54BC45BE77341C0BDAB1E300FD91CC0A8E2C62DE67341C0A017EE5C18D91CC0"
"483307128","river","Rio Mumbaba","waterway","010500000001000000010200000014000000B29C84D2177C41C04D2CF015DDCA1CC0016E162F167C41C097C5C4E6E3CA1CC0AE47E17A147C41C059C345EEE9CA1CC085B4C6A0137C41C075745C8DECCA1CC0FC1873D7127C41C08C683BA6EECA1CC0B0AF75A9117C41C09D9FE238F0CA1CC02157EA59107C41C0A8195245F1CA1CC081936DE00E7C41C02BF86D88F1CA1CC059349D9D0C7C41C0253B3602F1CA1CC054ABAFAE0A7C41C01AC1C6F5EFCA1CC06D3B6D8D087C41C003CDE7DCEDCA1CC0A4E4D539067C41C05E807D74EACA1CC01CB1169F027C41C09D82FC6CE4CA1CC0548EC9E2FE7B41C053E9279CDDCA1CC08B6B7C26FB7B41C07BF7C77BD5CA1CC0F855B950F97B41C0CB30EE06D1CA1CC07DD0B359F57B41C0D0D03FC1C5CA1CC02AAA7EA5F37B41C0A3E8818FC1CA1CC0433A3C84F17B41C070438CD7BCCA1CC05CCAF962EF7B41C0C539EAE8B8CA1CC0"
"483307163","river","Rio Mumbaba","waterway","01050000000100000001020000000E000000B3CEF8BEB87C41C0287D21E4BCCF1CC0F03499F1B67C41C04ACE893DB4CF1CC0CD920035B57C41C06762BA10ABCF1CC07A6CCB80B37C41C0FB5A971AA1CF1CC0C93D5DDDB17C41C00C7558E196CF1CC08E3F51D9B07C41C0BD1E4C8A8FCF1CC082C5E1CCAF7C41C0DF6FB4E386CF1CC089B663EAAE7C41C0895C70067FCF1CC090DB2F9FAC7C41C09B594B0169CF1CC013EE9579AB7C41C0AC730CC85ECF1CC038F8C264AA7C41C051A3906456CF1CC05C02F04FA97C41C0842BA0504FCF1CC0BC3E73D6A77C41C0AC39403047CF1CC04CFF9254A67C41C0DA0418963FCF1CC0"
"483307168","river","Rio Mumbaba","waterway","01050000000100000001020000000A000000BBD6DEA7AA7841C0518369183EC21CC0226C787AA57841C05DE0F25833C21CC03D98141F9F7841C0AC1919E42EC21CC042D0D1AA967841C02F151BF33AC21CC093718C648F7841C0577A6D3656C21CC00D7217618A7841C001BEDBBC71C21CC08D63247B847841C0514EB4AB90C21CC0B309302C7F7841C0B1F84D61A5C21CC08BDEA9807B7841C0AC58FCA6B0C21CC051F701486D7841C0BDAC8905BEC21CC0"
"483512641","stream","Riacho Água Boa","waterway","01050000000100000001020000000700000034075273037341C050429F7E06F21CC009EFBC9EF97241C079C3C771F1F11CC042340411F37241C0693C6C7DECF11CC09F7D40FBEC7241C03BA759A0DDF11CC072F7DE84E77241C0EF0390DAC4F11CC04C20802FE07241C05BD1E638B7F11CC098384DFAD67241C02D3CD45BA8F11CC0"
"47189930","residential","Rua Lygia Guedes","road","0105000000010000000102000000020000003DFF8705086C41C0814D8C1B6D831CC002D369DD066C41C0AC545051F5831CC0"
"43041961","river","Rio Gramame","waterway","010500000001000000010200000010000000CCEF3499F17641C06EBA0ACE85E61CC02950D54EDE7641C080C7A64BB5E51CC09793ABB3B57641C071C394EDE8E41CC0DB3E9AA03C7641C0FB26A83C15E31CC0A297512CB77541C05748540328E11CC0A55478865F7541C00F7F4DD6A8DF1CC03C1D7EED4F7541C0B26900CA3ADF1CC00F82E90F287541C099A8948DBDDD1CC064575A46EA7441C007358D3743DB1CC098F6CDFDD57441C09D5D08837CDA1CC0AD8ACB4CC47441C0C71AE4E434DA1CC0E0264811BE7441C0E2C4FC8117DA1CC01BBEE02E567441C0C6617A0CA0D91CC0325706D5067441C0883DFE1C30D91CC0974FFB52E47341C0A35FB6F86FD91CC00CE13DACDC7341C0E5C5D33C91D91CC0"
"47467505","river","Rio Jaguaribe","waterway","010500000001000000010200000008000000B4A789E3657141C0EC12D55B03AB1CC0929ED8F96D7141C03EA18D12AAAA1CC071AFCC5B757141C0C0EB33677DAA1CC0E5CD86A17A7141C0E93290C250AA1CC059EC40E77F7141C0614381881EAA1CC0E5CD86A17A7141C0E5524B299EA91CC0E5CD86A17A7141C07D68D59DDDA81CC024D97E8D7F7141C03201BF4692A81CC0"
"47977233","stream","Rio Preto","waterway","01050000000100000001020000000600000020B6F468AA7C41C0F415A4198B861CC0F4B40DEDAD7C41C02C0142356F861CC02AC8CF46AE7C41C04FDE115F37861CC0EBBCD75AA97C41C068812CFAF9851CC00DC68844A17C41C08C2B2E8ECA851CC038ADCA749E7C41C05AA20E8695851CC0"
"52887009","canal","Rio Jaguaribe","waterway","010500000001000000010200000015000000B8B7B64B766C41C0221F4F26C9561CC0D5E4CEF1766C41C099A9FF626C571CC036131D13736C41C036559C0F74591CC04399FC05716C41C07DD0B359F5591CC020DDBEFD6F6C41C046F01A4F5F5A1CC01401F335706C41C0A57FEE70E05A1CC055601278716C41C055DF54FF7B5B1CC02594BE10726C41C04983DBDAC25B1CC0F6717ED4706C41C03DED951EF25B1CC04CB093556C6C41C0E95CF690955C1CC03C9F01F5666C41C07EFE7BF0DA5D1CC01A7332CC646C41C0F7555E97865E1CC04496BB85646C41C0D94FB5CCD85E1CC013C42FAB666C41C0C12A2856575F1CC0A3844F29656C41C02A8018D7AE5F1CC05E7AA0BA5E6C41C0D762015D45601CC0B8EA3A54536C41C0A462ADEB61611CC091555BFB4C6C41C0AC8DB1135E621CC0416FE0C4466C41C01D5B2ACA00631CC075FD27243E6C41C02394089E8C631CC0674EF27E376C41C0A3AB19BE2A641CC0"
