osm_id,fclass,name,type,coordenates
229612907,parking,Estacionamento Spazzio,traffic,"[[-7.242802, -35.8705012], [-7.2426903, -35.8705012], [-7.2418973, -35.8701096], [-7.2418548, -35.8699648], [-7.2419718, -35.8696322], [-7.2432597, -35.8697341], [-7.2429776, -35.8704315], [-7.2428978, -35.8704851], [-7.242802, -35.8705012]]"
196858078,industrial,Gerdau,land use,"[[-7.2556196, -35.8787873], [-7.2555451, -35.8781436], [-7.2559549, -35.8780899], [-7.25604, -35.8787498], [-7.2556196, -35.8787873]]"
244113487,parking,Estacionamento Hiper Bompreço,traffic,"[[-7.2274506, -35.8858216], [-7.227233, -35.8849591], [-7.2281288, -35.8849823], [-7.2281247, -35.8850563], [-7.2278242, -35.8850315], [-7.2274, -35.8854133], [-7.2275049, -35.8858082], [-7.2274506, -35.8858216]]"
261099864,parking,Estacionamento Externo do Partage Shopping,traffic,"[[-7.2371866, -35.8718287], [-7.2365144, -35.8710846], [-7.2370643, -35.8706443], [-7.2371665, -35.8706725], [-7.2377525, -35.8713823], [-7.2371866, -35.8718287]]"
290883952,parking,Estacionamento do Shopping Luiza Mota,traffic,"[[-7.2337225, -35.8794161], [-7.2336854, -35.8794015], [-7.2336936, -35.87936], [-7.233922, -35.8790971], [-7.2340427, -35.878964], [-7.234098, -35.8788805], [-7.2341729, -35.8788111], [-7.2342363, -35.8788158], [-7.2343035, -35.8788555], [-7.234346, -35.8794014], [-7.2337225, -35.8794161]]"
325048232,parking,Estacionamento Rotativo,traffic,"[[-7.2219334, -35.8876918], [-7.2218655, -35.8875127], [-7.2223065, -35.8873011], [-7.2223285, -35.8873715], [-7.2223642, -35.8874392], [-7.2219334, -35.8876918]]"
325992052,parking,Estacionamento do Hospital de Traumas Dom Luiz Gonzaga Fernandes,traffic,"[[-7.2388971, -35.9329288], [-7.238512, -35.9321277], [-7.2383011, -35.9322294], [-7.2380719, -35.931721], [-7.2386832, -35.9314221], [-7.2392792, -35.9327686], [-7.2388971, -35.9329288]]"
361454701,parking_multistorey,Estacionamento Partage Shopping,traffic,"[[-7.2357908, -35.8713784], [-7.2354764, -35.8709835], [-7.2356513, -35.8708414], [-7.2357418, -35.870938], [-7.2361303, -35.8706107], [-7.2359938, -35.8704606], [-7.2365756, -35.8699929], [-7.2369286, -35.8704516], [-7.2357908, -35.8713784]]"
426143040,parking,Estacionamento da Catedral Diocesana Nossa Senhora da Conceição,traffic,"[[-7.2185122, -35.8815564], [-7.2184347, -35.8813854], [-7.2188385, -35.8812046], [-7.2189096, -35.8813691], [-7.2185122, -35.8815564]]"
426143041,parking,Estacionamento do Rede Compras,traffic,"[[-7.2185574, -35.8809099], [-7.2185025, -35.8808041], [-7.2184427, -35.8808317], [-7.2183248, -35.8805973], [-7.218425, -35.8805452], [-7.2186107, -35.8808904], [-7.2185574, -35.8809099]]"
499515652,parking,Link Park,traffic,"[[-7.2223642, -35.8874392], [-7.2223065, -35.8873011], [-7.2221671, -35.8869397], [-7.2223695, -35.886868], [-7.2225364, -35.8872789], [-7.2223642, -35.8874392]]"
521791199,parking,Estacionamento CCT / CTRN,traffic,"[[-7.2136984, -35.9068898], [-7.2136871, -35.9059141], [-7.2140656, -35.9059097], [-7.214077, -35.9068853], [-7.2136984, -35.9068898]]"
521787939,parking,Estacionamento,traffic,"[[-7.2123718, -35.9092647], [-7.2123229, -35.9091969], [-7.2121577, -35.9091996], [-7.2121319, -35.9092], [-7.212005, -35.9090737], [-7.2118481, -35.908752], [-7.2119388, -35.9087786], [-7.2126821, -35.9087606], [-7.2134867, -35.9087587], [-7.2134904, -35.9088942], [-7.212842, -35.9089007], [-7.2127609, -35.9089243], [-7.212714, -35.9092497], [-7.2123718, -35.9092647]]"
