osm_id,fclass,name,type,coordenates
325510168,rail,Ramal de Campina Grande,railway,"[[-7.2318236, -35.8842924], [-7.2320538, -35.8843516]]"
414611592,rail,Ramal de Campina Grande,railway,"[[-7.2320538, -35.8843516], [-7.2348968, -35.8850761], [-7.2353003, -35.8852294], [-7.2353816, -35.8852595], [-7.2364135, -35.8854946], [-7.2383167, -35.8860395], [-7.2385424, -35.8861017], [-7.2393702, -35.8863282], [-7.2395618, -35.8863604], [-7.2397209, -35.8863642], [-7.2402345, -35.8863314], [-7.2419906, -35.8862778], [-7.2435654, -35.8862431], [-7.2443278, -35.8862137]]"
414611593,rail,Ramal de Campina Grande,railway,"[[-7.2443278, -35.8862137], [-7.2444363, -35.8862095]]"
421699304,rail,Ramal de Campina Grande,railway,"[[-7.2998548, -35.8663628], [-7.2988995, -35.8709133], [-7.298551, -35.872573], [-7.2985616, -35.8727439], [-7.2985976, -35.8729692], [-7.2986481, -35.8731696], [-7.2986645, -35.8732208], [-7.299446, -35.8756651], [-7.299452, -35.8757182], [-7.2994715, -35.8758901], [-7.2994755, -35.8760457], [-7.2994471, -35.8761926], [-7.2993692, -35.8764989], [-7.2976818, -35.8801958], [-7.2975573, -35.8804686], [-7.2945875, -35.8869749], [-7.2944725, -35.8871487], [-7.294374, -35.8872788], [-7.2942529, -35.8873978], [-7.2941146, -35.8875336], [-7.2939369, -35.8876471], [-7.2937262, -35.8877696], [-7.2935003, -35.8878491], [-7.2930441, -35.8879714], [-7.2904895, -35.8884088]]"
421699305,rail,Ramal de Campina Grande,railway,"[[-7.2444363, -35.8862095], [-7.245306, -35.8861759], [-7.2467037, -35.8861442], [-7.2483871, -35.8861061], [-7.2487023, -35.8860966], [-7.2509207, -35.8860274], [-7.2518408, -35.8859988], [-7.2548954, -35.8859023], [-7.2572652, -35.8858424], [-7.2576678, -35.8858379], [-7.2618558, -35.8857091], [-7.2661448, -35.8856019], [-7.2682308, -35.8855428], [-7.2686245, -35.8855589], [-7.2690556, -35.8856126], [-7.2694813, -35.8856877], [-7.2700506, -35.8858486], [-7.27062, -35.8860417], [-7.2710577, -35.8862252], [-7.2717907, -35.8865728], [-7.2726049, -35.8870181], [-7.2728496, -35.88712], [-7.2730891, -35.8871736], [-7.2733286, -35.8872005], [-7.2735627, -35.887179], [-7.2737862, -35.8871468], [-7.2740576, -35.8870771], [-7.2744354, -35.8869269], [-7.2751431, -35.8865728], [-7.2754198, -35.8864709], [-7.2757231, -35.8864065], [-7.276069, -35.8863851], [-7.2763936, -35.8864065], [-7.2774791, -35.8865835], [-7.2784156, -35.8867337], [-7.2802397, -35.8870435], [-7.280906, -35.8871468], [-7.2831674, -35.8875116], [-7.2851354, -35.8878462], [-7.2856094, -35.8879268], [-7.285781, -35.887956], [-7.2859999, -35.8879932]]"
421699306,rail,Ramal de Campina Grande,railway,"[[-7.2904895, -35.8884088], [-7.2899994, -35.8884909], [-7.289362, -35.888526], [-7.2862955, -35.88804], [-7.2859999, -35.8879932]]"
668883037,rail,Ramal de Campina Grande,railway,"[[-7.2304319, -35.8841857], [-7.2302565, -35.8842659], [-7.2301556, -35.8843197], [-7.2292547, -35.8849579], [-7.2287023, -35.8853497]]"
701472611,rail,Ramal de Campina Grande,railway,"[[-7.228354, -35.8860804], [-7.2283897, -35.8859384], [-7.2284362, -35.8858111], [-7.2285427, -35.885575], [-7.2287023, -35.8853497], [-7.2289099, -35.8851512], [-7.2291281, -35.8849849], [-7.2299063, -35.8844431], [-7.2301048, -35.8843087], [-7.2302403, -35.8842446], [-7.2304319, -35.8841857], [-7.2306501, -35.8841266], [-7.2308257, -35.8840998], [-7.2310332, -35.8840891], [-7.2312066, -35.8841221], [-7.2314906, -35.8841813], [-7.2318236, -35.8842924]]"
43041857,stream,Rio São Pedro,waterway,"[[-7.3678369, -36.0380105], [-7.3683124, -36.0373179], [-7.3686311, -36.0363363], [-7.3687515, -36.0347939], [-7.36984, -36.032506], [-7.3708917, -36.0316817], [-7.3711519, -36.0306735], [-7.3714075, -36.0287105], [-7.3720521, -36.0281697], [-7.373153, -36.0276923], [-7.3732595, -36.0275449], [-7.3739067, -36.0269359], [-7.3752089, -36.0244536], [-7.3778025, -36.0223201], [-7.380533, -36.0203332], [-7.3813555, -36.0192906], [-7.3814543, -36.0185752], [-7.3811855, -36.0175843], [-7.380294, -36.0173162], [-7.3799008, -36.0167501], [-7.3794583, -36.0157166], [-7.3802279, -36.015224], [-7.3814249, -36.0153617], [-7.3821856, -36.01546], [-7.3830262, -36.01443], [-7.3839458, -36.0140715], [-7.3866631, -36.0135806], [-7.3870676, -36.0129797], [-7.3866361, -36.0107668], [-7.3838595, -36.0097688], [-7.3827503, -36.008769], [-7.3824813, -36.0076987], [-7.3830178, -36.0072463], [-7.3839731, -36.0066194], [-7.3846915, -36.0055563], [-7.3853938, -36.0048882], [-7.385576, -36.0047148], [-7.3855668, -36.0036249], [-7.3837872, -36.0019486]]"
692662499,rail,Ramal de Campina Grande,railway,"[[-7.1941244, -35.9255678], [-7.1948447, -35.9242579], [-7.1950804, -35.9238292], [-7.1952081, -35.9235663], [-7.1952773, -35.9233249], [-7.1953358, -35.9230728], [-7.1956019, -35.921737], [-7.1957829, -35.9210987], [-7.1959745, -35.9205944], [-7.196444, -35.919673], [-7.1986823, -35.9158392], [-7.1994232, -35.9145702], [-7.199849, -35.9140069], [-7.2001577, -35.9137387], [-7.2004823, -35.913567], [-7.2010678, -35.9133042], [-7.2014722, -35.9131486], [-7.2018235, -35.9129716], [-7.2021428, -35.912757], [-7.2023238, -35.9125585], [-7.2025313, -35.9122742], [-7.202675, -35.9120275], [-7.2027868, -35.9117431], [-7.2028773, -35.9113784], [-7.2028986, -35.9110136], [-7.2028613, -35.9107185], [-7.2027868, -35.9103538], [-7.2027235, -35.9102095], [-7.2020151, -35.9085942], [-7.2018608, -35.908208], [-7.201765, -35.9077949], [-7.2017543, -35.9074731], [-7.2019566, -35.9057082], [-7.2020683, -35.9052361], [-7.2022493, -35.9048391], [-7.2024515, -35.9045226], [-7.2027123, -35.904249], [-7.2029837, -35.9040345], [-7.2033297, -35.9038467], [-7.2037661, -35.9037287], [-7.204128, -35.9036697], [-7.2045431, -35.9036911], [-7.2049795, -35.9037931], [-7.2053254, -35.9039325], [-7.2055845, -35.904097], [-7.205863, -35.9043188], [-7.2061184, -35.904587], [-7.2072702, -35.9062991], [-7.208787, -35.9085537], [-7.2090379, -35.9088459], [-7.2092987, -35.9090819], [-7.209618, -35.9092858], [-7.2099107, -35.9094091], [-7.2102354, -35.9095003], [-7.2105706, -35.909554], [-7.2109059, -35.9095701], [-7.2115126, -35.9095486], [-7.2126515, -35.9095164], [-7.2129312, -35.9095245], [-7.2132328, -35.9095777], [-7.2135829, -35.9096935], [-7.2139395, -35.9098919], [-7.2142268, -35.9101172], [-7.214473, -35.9103704], [-7.2147125, -35.9107299], [-7.2157489, -35.9126922], [-7.2159032, -35.9129067], [-7.2160842, -35.9130891], [-7.2164621, -35.9133895], [-7.216659, -35.9135451], [-7.2169942, -35.913808], [-7.2174839, -35.9141835], [-7.2177021, -35.9143498], [-7.2179735, -35.9145161], [-7.2182183, -35.9146126], [-7.2184684, -35.914677], [-7.2187026, -35.9147199], [-7.218974, -35.9147306], [-7.2192454, -35.9147092], [-7.2194849, -35.9146663], [-7.2197137, -35.9145965], [-7.2199905, -35.9144839], [-7.2202193, -35.9143444], [-7.2204641, -35.9141513], [-7.2207196, -35.913867], [-7.2211027, -35.913411], [-7.2212609, -35.9132149], [-7.2218332, -35.9125055], [-7.2219977, -35.9123375], [-7.2220234, -35.9123113], [-7.2222576, -35.912145], [-7.2224705, -35.9120109], [-7.222694, -35.911909], [-7.2229654, -35.9118339], [-7.2232262, -35.9117909], [-7.2235189, -35.9117749], [-7.2237796, -35.9117856], [-7.2240936, -35.9118446], [-7.2241235, -35.9118535], [-7.2244183, -35.9119411], [-7.2247003, -35.9120806], [-7.2250835, -35.9123596], [-7.2256582, -35.9128102], [-7.2261957, -35.9131964], [-7.226547, -35.9133949], [-7.2268078, -35.9134861], [-7.2270738, -35.9135397], [-7.2273559, -35.9135505], [-7.2275901, -35.9135344], [-7.2278349, -35.9134807], [-7.2280797, -35.9133842], [-7.2282979, -35.9132662], [-7.2285107, -35.9131106], [-7.228713, -35.912896], [-7.2288833, -35.9126814], [-7.2290323, -35.9123918], [-7.2291281, -35.9121235], [-7.2291826, -35.9118188], [-7.2292145, -35.9114326], [-7.2292305, -35.9111059], [-7.2292358, -35.9109981], [-7.2293985, -35.9078213], [-7.2294101, -35.9075745], [-7.2294888, -35.9057837], [-7.2295013, -35.9054989], [-7.2295964, -35.9033366], [-7.2296547, -35.9024004], [-7.2297365, -35.901085], [-7.2297655, -35.9006182], [-7.2297826, -35.9003433], [-7.2297847, -35.9002815], [-7.2297893, -35.9001459], [-7.2298003, -35.8995531], [-7.2297855, -35.8983174], [-7.2297773, -35.8973392], [-7.2297671, -35.8969799], [-7.2297492, -35.8961009], [-7.2297347, -35.8956494], [-7.229732, -35.8955657], [-7.2297132, -35.895209], [-7.2297081, -35.8951183], [-7.2296696, -35.8947642], [-7.229615, -35.8945133], [-7.2294998, -35.8936759], [-7.2294893, -35.8936095], [-7.2293516, -35.8927419], [-7.2292824, -35.8921464], [-7.229144, -35.8909555], [-7.2289629, -35.8893881], [-7.2289406, -35.8891794], [-7.2288646, -35.8884303], [-7.2288247, -35.8882181], [-7.2287622, -35.8880186], [-7.2286586, -35.8878131], [-7.228552, -35.8876226], [-7.2284711, -35.8874604], [-7.2284136, -35.8872728], [-7.2283737, -35.8870996], [-7.2283513, -35.8869454], [-7.2283418, -35.8867938], [-7.2283327, -35.8866182], [-7.2283298, -35.8864572], [-7.2283327, -35.8862199]]"
701472612,rail,Ramal de Campina Grande,railway,"[[-7.2283327, -35.8862199], [-7.228354, -35.8860804]]"
223141033,stream,Rio Bodocongó,waterway,"[[-7.2527192, -35.9160454], [-7.2528438, -35.9158967]]"
328967709,stream,Riacho Marinho,waterway,"[[-7.2109151, -35.865811], [-7.2112178, -35.8651956], [-7.2115944, -35.8639604], [-7.2116004, -35.8628194], [-7.2107809, -35.8614839], [-7.2081216, -35.8593741], [-7.2078789, -35.859197], [-7.2078268, -35.8591122]]"
