osm_id,fclass,name,type,coordenates
368993728,laundry,Tutto Bianco,poi,"[[-7.1146415, -34.8244952], [-7.1143591, -34.8244362], [-7.1143821, -34.8243241], [-7.1146645, -34.824383], [-7.1146415, -34.8244952]]"
375805663,park,Praça Alves de Souza,poi,"[[-7.1305357, -34.8397233], [-7.1297197, -34.8397165], [-7.1297156, -34.8395284], [-7.1296994, -34.8391211], [-7.129671, -34.8385507], [-7.1300747, -34.8389117], [-7.1304661, -34.8393497], [-7.1305256, -34.8395073], [-7.1305357, -34.8397233]]"
379217403,college,Escola Técnica Estadual de Mangabeira,poi,"[[-7.1638374, -34.8260271], [-7.1621931, -34.8259016], [-7.1621788, -34.825191], [-7.1635944, -34.825106], [-7.1637419, -34.8255082], [-7.1638171, -34.8258143], [-7.1638374, -34.8260271]]"
443239328,school,Século Colégio e Curso,poi,"[[-7.1526547, -34.8379746], [-7.1526346, -34.8376627], [-7.1531802, -34.8375956], [-7.1531897, -34.837929], [-7.1526547, -34.8379746]]"
443496452,school,Escola Municipal Anaide Beiriz,poi,"[[-7.1737937, -34.9296836], [-7.1735728, -34.9295844], [-7.1737458, -34.9291499], [-7.17398, -34.9292384], [-7.1737937, -34.9296836]]"
447888094,theatre,Anfiteatro,poi,"[[-7.1475522, -34.8434102], [-7.1475021, -34.8433933], [-7.1474699, -34.843343], [-7.1474672, -34.8432913], [-7.147483, -34.843217], [-7.1475818, -34.8432326], [-7.1476295, -34.8433039], [-7.1476055, -34.8433726], [-7.1475522, -34.8434102]]"
447888573,pitch,Pista de skate,poi,"[[-7.1473067, -34.8433568], [-7.1472036, -34.8433243], [-7.1472409, -34.8432305], [-7.147344, -34.8432629], [-7.1473067, -34.8433568]]"
447888974,park,Praça da Paz,poi,"[[-7.147829, -34.8443758], [-7.1469215, -34.8440351], [-7.1467485, -34.8439681], [-7.1469802, -34.8433208], [-7.1472615, -34.8425763], [-7.1483447, -34.8429223], [-7.1483234, -34.8430027], [-7.1482675, -34.8430886], [-7.1481451, -34.8433005], [-7.1480413, -34.8434989], [-7.1479614, -34.8436813], [-7.1479029, -34.8438503], [-7.1478796, -34.8440029], [-7.1478709, -34.8441615], [-7.1478683, -34.8442607], [-7.147829, -34.8443758]]"
457772548,park,Parque Cabo Branco,poi,"[[-7.1320804, -34.8235192], [-7.1320423, -34.8234654], [-7.131586, -34.8219989], [-7.1317706, -34.8219147], [-7.1317716, -34.8219279], [-7.1321778, -34.8230436], [-7.1322818, -34.8234056], [-7.1320804, -34.8235192]]"
330429694,parking,JP Park - Estacionamento,traffic,"[[-7.121911, -34.8590042], [-7.1217301, -34.8589187], [-7.1217021, -34.8589944], [-7.1214525, -34.8588901], [-7.1215456, -34.8586498], [-7.1219733, -34.8588441], [-7.121911, -34.8590042]]"
340325045,parking,Estacionamento Motiva Ambiental,traffic,"[[-7.1142341, -34.8287828], [-7.1141701, -34.8287643], [-7.1141067, -34.8287518], [-7.1141354, -34.8286353], [-7.1141624, -34.8285261], [-7.1141897, -34.8284153], [-7.1143092, -34.828443], [-7.1142341, -34.8287828]]"
341639437,parking,Estacionamento Garagem do Manaíra Shopping,traffic,"[[-7.0999987, -34.8443524], [-7.0999082, -34.844122], [-7.1005485, -34.8440165], [-7.1005914, -34.8440501], [-7.10062, -34.8440933], [-7.1006295, -34.8441317], [-7.1006057, -34.8442181], [-7.1005485, -34.8442661], [-7.0999987, -34.8443524]]"
341639569,parking,Estacionamento Manaíra Shopping,traffic,"[[-7.098837, -34.8475838], [-7.0987763, -34.8465286], [-7.0985322, -34.8464407], [-7.0984552, -34.8461293], [-7.0986456, -34.8460953], [-7.0990191, -34.8458842], [-7.099124, -34.845892], [-7.0991725, -34.8458349], [-7.0991754, -34.8461205], [-7.0992275, -34.8466306], [-7.0993461, -34.8471582], [-7.0992391, -34.8471903], [-7.0993056, -34.8475546], [-7.098837, -34.8475838]]"
343279704,parking,Estacionamento Hiper Bompreço - Bessa,traffic,"[[-7.0909386, -34.8479228], [-7.0909311, -34.8478463], [-7.0909118, -34.8472395], [-7.0912807, -34.8472023], [-7.0915144, -34.8471787], [-7.0915348, -34.8471766], [-7.0920051, -34.8471311], [-7.0920924, -34.8471226], [-7.0917014, -34.8478269], [-7.0909386, -34.8479228]]"
360441245,parking,Centro de Convenções de João Pessoa - Estacionamento Norte,traffic,"[[-7.1871423, -34.8060027], [-7.1862153, -34.8053338], [-7.1860292, -34.8046861], [-7.186352, -34.8045923], [-7.1875145, -34.8042544], [-7.1875157, -34.8042734], [-7.1875353, -34.8045848], [-7.1875447, -34.8047342], [-7.1875914, -34.8054739], [-7.1876099, -34.8057676], [-7.1876214, -34.8059507], [-7.1871423, -34.8060027]]"
360441440,parking,Centro de Convenções de João Pessoa - Estacionamento Sul,traffic,"[[-7.1887553, -34.805779], [-7.188717, -34.8043012], [-7.1893882, -34.8043077], [-7.189484, -34.8043086], [-7.1901993, -34.8043155], [-7.1902315, -34.804844], [-7.1902215, -34.8050025], [-7.1902154, -34.8054436], [-7.1902073, -34.8055087], [-7.1901529, -34.8055514], [-7.1897274, -34.8055534], [-7.1897294, -34.8056713], [-7.1887553, -34.805779]]"
