osm_id,fclass,name,type,coordenates
72559844,rail,Ramal Cimpor,railway,"[[-7.1286979, -34.8947212], [-7.1280086, -34.895027], [-7.1277371, -34.8951611], [-7.1277109, -34.8951769], [-7.1275163, -34.8952937], [-7.1272123, -34.8954968], [-7.1268899, -34.8957122], [-7.1255708, -34.8965853], [-7.1252753, -34.8967288], [-7.1251691, -34.8967663], [-7.1250331, -34.8967932], [-7.124869, -34.8968022], [-7.1247403, -34.8967879], [-7.1246205, -34.8967664], [-7.1244981, -34.8967195], [-7.124389, -34.8966536], [-7.1242839, -34.8965706], [-7.1241881, -34.8964685], [-7.1240909, -34.8963587], [-7.1239982, -34.8962375]]"
43041775,river,Rio Gramame,waterway,"[[-7.2437706, -34.9426781], [-7.2437141, -34.9426519], [-7.2435154, -34.9424993], [-7.2432552, -34.9422084], [-7.2428978, -34.9415906], [-7.2424059, -34.9408822], [-7.2420077, -34.9405988], [-7.2416095, -34.9405752], [-7.2413284, -34.9407995], [-7.2409888, -34.9408822], [-7.2407662, -34.940469], [-7.2407194, -34.9395481], [-7.240368, -34.9388987], [-7.2391617, -34.9359471], [-7.2385292, -34.9343179], [-7.2378031, -34.9337984], [-7.2344116, -34.9330003]]"
43041785,river,Rio Paraíba,waterway,"[[-7.0999543, -34.8942836], [-7.0988348, -34.8936662], [-7.094598, -34.8912473], [-7.0935569, -34.8905306]]"
30554038,primary,Avenida Presidente Epitácio Pessoa,road,"[[-7.1196451, -34.8450422], [-7.1196347, -34.8439543]]"
30554372,tertiary,Avenida Piauí,road,"[[-7.119605, -34.8533074], [-7.1186258, -34.8532867]]"
30554497,tertiary,Rua Joaquim Pires,road,"[[-7.1057696, -34.8568473], [-7.106224, -34.8567367], [-7.1067532, -34.8566079]]"
128231004,stream,Rio Laranjeiras,waterway,"[[-7.1604066, -34.8516773], [-7.1593514, -34.8511176], [-7.1575463, -34.8502919], [-7.1560128, -34.8492474], [-7.1552859, -34.8485093], [-7.1551244, -34.848238], [-7.1548175, -34.8474349], [-7.1546721, -34.8466209], [-7.1546391, -34.8464336]]"
201153298,river,Rio Preto,waterway,"[[-7.1182252, -34.9577563], [-7.1178758, -34.9569192]]"
228733180,river,Rio Marés,waterway,"[[-7.151209, -34.9099771], [-7.1507995, -34.9099242], [-7.1507858, -34.9099224]]"
228849837,river,Rio Mandacaru,waterway,"[[-7.080372, -34.8657729], [-7.0790358, -34.8655745], [-7.0784981, -34.8653116], [-7.0775878, -34.8645606], [-7.0766988, -34.8635682], [-7.0765071, -34.8622217], [-7.076436, -34.8610684], [-7.0762604, -34.8601403], [-7.0759268, -34.859577], [-7.0755683, -34.8592176], [-7.075123, -34.858987], [-7.0738594, -34.8587992], [-7.0730415, -34.8590674], [-7.0717406, -34.8594805], [-7.0709706, -34.8595663], [-7.0701063, -34.8594537], [-7.0691055, -34.8592552], [-7.0682768, -34.8588368], [-7.0674019, -34.8580482], [-7.0669494, -34.8577291]]"
368779876,river,Rio Paraíba,waterway,"[[-7.1189206, -34.9771273], [-7.1189632, -34.9759042], [-7.1184522, -34.9750352], [-7.1178667, -34.9740374], [-7.1173348, -34.9734771]]"
438855003,river,Rio Gramame,waterway,"[[-7.2150023, -34.8882226], [-7.2154243, -34.8871077], [-7.2158851, -34.8860123]]"
483306948,river,Rio Mumbaba,waterway,"[[-7.2086045, -34.9095703], [-7.208685, -34.909073], [-7.208744, -34.908736], [-7.208779, -34.908552], [-7.208816, -34.908381], [-7.208853, -34.90822], [-7.208892, -34.908066], [-7.208914, -34.907977], [-7.208966, -34.907757], [-7.208997, -34.907643], [-7.209016, -34.90758], [-7.209037, -34.907523], [-7.209059, -34.907469], [-7.209082, -34.907419], [-7.209142, -34.9073], [-7.209185, -34.907226], [-7.209206, -34.907193], [-7.209228, -34.907164], [-7.20925, -34.907137], [-7.209273, -34.907114], [-7.209297, -34.907093], [-7.209324, -34.907074], [-7.209355, -34.907056], [-7.209389, -34.907038], [-7.209456, -34.907009], [-7.209609, -34.906952], [-7.209672, -34.906924], [-7.209728, -34.906895], [-7.209789, -34.906862], [-7.210019, -34.906726], [-7.210117, -34.906672], [-7.210171, -34.906644], [-7.210222, -34.90662], [-7.210272, -34.906599], [-7.21032, -34.906581], [-7.21047, -34.906529], [-7.210565, -34.906501], [-7.210611, -34.906491], [-7.210654, -34.906483], [-7.210694, -34.906479], [-7.210734, -34.906477], [-7.210758, -34.906477], [-7.210786, -34.906481], [-7.210879, -34.906501], [-7.210914, -34.906506], [-7.210947, -34.906508], [-7.210976, -34.906505], [-7.211003, -34.906498], [-7.21103, -34.906488], [-7.211057, -34.906474], [-7.211086, -34.906457], [-7.211116, -34.906437], [-7.211147, -34.906412], [-7.211219, -34.906348], [-7.211245, -34.906321], [-7.211272, -34.906288], [-7.211355, -34.906166], [-7.21139, -34.90612], [-7.211429, -34.906079], [-7.211475, -34.906036], [-7.211522, -34.905997], [-7.21164, -34.905904], [-7.211699, -34.905852], [-7.211728, -34.905824], [-7.211753, -34.905796], [-7.211775, -34.905769], [-7.211794, -34.905741], [-7.21182, -34.905697], [-7.211848, -34.905654], [-7.211877, -34.905613], [-7.211908, -34.905573], [-7.211939, -34.905535], [-7.211972, -34.905498], [-7.212007, -34.905462]]"
483307128,river,Rio Mumbaba,waterway,"[[-7.198109, -34.969477], [-7.198135, -34.969427], [-7.198158, -34.969375], [-7.198168, -34.969349], [-7.198176, -34.969325], [-7.198182, -34.969289], [-7.198186, -34.969249], [-7.198187, -34.969204], [-7.198185, -34.969135], [-7.198181, -34.969076], [-7.198173, -34.969011], [-7.19816, -34.96894], [-7.198137, -34.96883], [-7.198111, -34.968716], [-7.19808, -34.968602], [-7.198063, -34.968546], [-7.19802, -34.968425], [-7.198004, -34.968373], [-7.197986, -34.968308], [-7.197971, -34.968243]]"
483307163,river,Rio Mumbaba,waterway,"[[-7.202869, -34.974388], [-7.202836, -34.974333], [-7.202801, -34.97428], [-7.202763, -34.974228], [-7.202724, -34.974178], [-7.202696, -34.974147], [-7.202663, -34.974115], [-7.202633, -34.974088], [-7.202549, -34.974018], [-7.20251, -34.973983], [-7.202478, -34.97395], [-7.202451, -34.973917], [-7.20242, -34.973872], [-7.202391, -34.973826]]"
483307168,river,Rio Mumbaba,waterway,"[[-7.18969, -34.942708], [-7.189649, -34.94255], [-7.189632, -34.942356], [-7.189678, -34.942098], [-7.189782, -34.941876], [-7.189887, -34.941723], [-7.190005, -34.941543], [-7.190084, -34.941381], [-7.190127, -34.941269], [-7.190178, -34.940835]]"
483512641,stream,Riacho Água Boa,waterway,"[[-7.2363529, -34.8985428], [-7.2362726, -34.8982428], [-7.2362537, -34.8980428], [-7.236197, -34.8978571], [-7.2361025, -34.8976904], [-7.2360505, -34.8974666], [-7.2359938, -34.8971856]]"
47189930,residential,Rua Lygia Guedes,road,"[[-7.1283459, -34.8439948], [-7.1288655, -34.8439595]]"
43041961,river,Rio Gramame,waterway,"[[-7.2251198, -34.929248], [-7.2243244, -34.9286593], [-7.2235448, -34.9274201], [-7.2217607, -34.9237252], [-7.2198792, -34.9196525], [-7.2184175, -34.9169777], [-7.2179977, -34.9165017], [-7.2165434, -34.9152851], [-7.2141236, -34.9133995], [-7.2133656, -34.9127805], [-7.2130924, -34.9122406], [-7.2129803, -34.9120504], [-7.2125246, -34.9088801], [-7.2120976, -34.9064585], [-7.2123412, -34.9054054], [-7.2124681, -34.9051719]]"
47467505,river,Rio Jaguaribe,waterway,"[[-7.167005, -34.8859219], [-7.1666644, -34.8861687], [-7.166494, -34.886394], [-7.1663237, -34.8865549], [-7.1661321, -34.8867158], [-7.1656424, -34.8865549], [-7.1649079, -34.8865549], [-7.1646205, -34.8867051]]"
47977233,stream,Rio Preto,waterway,"[[-7.13139, -34.9739505], [-7.1312836, -34.9740578], [-7.1310706, -34.9740685], [-7.1308364, -34.9739183], [-7.1306555, -34.9736715], [-7.1304532, -34.9735857]]"
52887009,canal,Rio Jaguaribe,waterway,"[[-7.0847517, -34.8473601], [-7.0853744, -34.8473799], [-7.0873568, -34.8472618], [-7.08785, -34.8471992], [-7.0882542, -34.8471677], [-7.0887468, -34.8471744], [-7.0893402, -34.8472128], [-7.0896105, -34.847231], [-7.0897908, -34.8471933], [-7.0904143, -34.8470561], [-7.0916555, -34.846892], [-7.0923103, -34.8468261], [-7.0926239, -34.8468177], [-7.0931066, -34.8468832], [-7.0934404, -34.8468372], [-7.0940146, -34.8466409], [-7.0951001, -34.846293], [-7.096062, -34.8460993], [-7.0966827, -34.8459097], [-7.0972161, -34.8456464], [-7.0978193, -34.8454436]]"
128230998,river,Rio Cuiá,waterway,"[[-7.1911991, -34.8836359], [-7.1912072, -34.8835145], [-7.1912052, -34.8834199], [-7.1911705, -34.883315], [-7.1911052, -34.8832636], [-7.190942, -34.8832533], [-7.1908971, -34.8832142], [-7.1908767, -34.8831423], [-7.1908726, -34.8830456], [-7.1909154, -34.8830045], [-7.1909236, -34.8829674], [-7.1909052, -34.8829263], [-7.1907644, -34.8827885], [-7.1906277, -34.8825828], [-7.1906155, -34.8824821], [-7.1906318, -34.882408], [-7.1906787, -34.8823504], [-7.1907583, -34.8822784], [-7.1909032, -34.8821674], [-7.1909215, -34.8821304], [-7.1909073, -34.8821057], [-7.1908542, -34.8820645], [-7.1908501, -34.8820275], [-7.1908716, -34.8817967], [-7.1908665, -34.8811488], [-7.1909149, -34.8809303], [-7.1909583, -34.8808274], [-7.1909583, -34.8807452], [-7.1909481, -34.8806526], [-7.190869, -34.8805652], [-7.1907134, -34.8804881], [-7.1906675, -34.8804187], [-7.1906267, -34.8801179]]"
224242352,river,Rio Paraíba,waterway,"[[-7.0598919, -34.864542], [-7.0545523, -34.8616102], [-7.0493583, -34.8597627], [-7.0433085, -34.859426]]"
224242453,river,Rio Jaguaribe,waterway,"[[-7.1003739, -34.8445459], [-7.1000465, -34.8446806], [-7.0998061, -34.8448387], [-7.0995951, -34.8451168], [-7.0994336, -34.8453678], [-7.0993025, -34.8457024], [-7.0992683, -34.8460508], [-7.0993179, -34.8465206], [-7.0994233, -34.8468019], [-7.0996183, -34.8474093], [-7.0996685, -34.8477363]]"
224244588,canal,Rio Jaguaribe,waterway,"[[-7.0979472, -34.8454007], [-7.098094, -34.8453513], [-7.1003739, -34.8445459]]"
38264542,secondary,Rua Tito Silva,road,"[[-7.1195858, -34.8370416], [-7.1197334, -34.8370618], [-7.1198197, -34.8370498], [-7.1198998, -34.8370443], [-7.1199829, -34.8370213], [-7.1201429, -34.8370003], [-7.1203398, -34.8369717], [-7.1210062, -34.8369001], [-7.1221382, -34.8367619], [-7.122228, -34.8367507], [-7.1230614, -34.8366577]]"
