osm_id,fclass,name,type,coordenates
2646462549,christian,Imagem de Nossa Senhora da Penha,pofw,"[-7.1320035, -34.8607479]"
2678752112,christian_catholic,Igreja de São Bento,pofw,"[-7.116527, -34.8845745]"
2797097528,christian,Federação Espírita Paraibana,pofw,"[-7.1240173, -34.869534]"
3065204925,christian_catholic,Igreja Nossa Senhora do Rosário,pofw,"[-7.1328424, -34.8795035]"
3633687797,christian,Igreja São Pedro e São Paulo,pofw,"[-7.1110992, -34.8413008]"
4520987255,christian,Igreja Batista,pofw,"[-7.1528787, -34.8382966]"
4549999751,christian,Igreja Jesus Ressuscitado,pofw,"[-7.1502312, -34.8446522]"
5640385761,christian_catholic,Comunidade Em Adoração,pofw,"[-7.0784762, -34.8332054]"
5790676223,christian_catholic,Igreja de São José,pofw,"[-7.1688066, -34.8570248]"
6187887205,christian_evangelical,Igreja Evangélica Manahain,pofw,"[-7.1651813, -34.8494133]"
6384576381,christian_catholic,Igreja Santa Ana e São Joaquim,pofw,"[-7.1121295, -34.8437878]"
6698277844,christian_evangelical,Igreja universal do reino de deus,pofw,"[-7.1352261, -34.8789588]"
630743138,parking,Jardim Botânico Benjamin Maranhão,traffic,"[-7.1354912, -34.8607616]"
973662367,fuel,Master Gás,traffic,"[-7.1194373, -34.8406191]"
2789543097,fuel,Posto Santa Júlia,traffic,"[-7.1198524, -34.86204]"
2793876544,fuel,Posto BR,traffic,"[-7.1593865, -34.838337]"
2793885200,fuel,Posto ello,traffic,"[-7.1479751, -34.8448524]"
2793888991,fuel,Posto Ipiranga,traffic,"[-7.1463897, -34.8485124]"
2797085773,fuel,Posto Expressão - Torre,traffic,"[-7.1237763, -34.8695994]"
2838296461,parking,Estacionamento Pago,traffic,"[-7.1211972, -34.882423]"
2885375678,fuel,Posto BR,traffic,"[-7.1277578, -34.8614796]"
3167015861,fuel,Texaco,traffic,"[-7.1669501, -34.859828]"
3183917908,parking,Carrefour,traffic,"[-7.1473312, -34.8496845]"
3297525208,fuel,Litoral Sul,traffic,"[-7.2193248, -34.8351508]"
768054622,hotel,Mar Azul,poi,"[-7.1082058, -34.8261584]"
845009397,hospital,Sta. Thereza,poi,"[-7.1293045, -34.8584839]"
859506493,bar,Veranda do Mar,poi,"[-7.109066, -34.824643]"
920872803,bakery,Panificadora,poi,"[-7.1181263, -34.8252977]"
921101994,police,Posto da Polícia Rodoviária Federal,poi,"[-7.1410522, -34.9217484]"
1026885492,school,Escola Mar e Sol,poi,"[-7.094684, -34.844914]"
1028957865,pharmacy,Pague Menos,poi,"[-7.097101, -34.834786]"
1028958115,bank,Itaú,poi,"[-7.097125, -34.834249]"
1207879576,memorial,"Busto do Almirante Joaquim Marques Lisboa, Marquês de Tamandaré",poi,"[-7.1193598, -34.8236454]"
1330000526,restaurant,Pontal do Cabo,poi,"[-7.1457713, -34.8066506]"
1351960638,restaurant,Kyoto Restaurante,poi,"[-7.1248717, -34.8247125]"
1751874262,restaurant,Restaurante Terraço Brasil,poi,"[-7.1263842, -34.8236101]"
1957132650,restaurant,Nau Frutos do Mar,poi,"[-7.1107575, -34.8290618]"
3351835440,parking,Carrefour,traffic,"[-7.1467059, -34.8490842]"
3417752468,fuel,Petrobras,traffic,"[-7.1304647, -34.9357375]"
4398396276,parking,Estacionamento BeMais,traffic,"[-7.154547, -34.8381868]"
4525208690,fuel,Posto A Gauchinha,traffic,"[-7.172952, -34.8977944]"
4738303559,fuel,Posto Cruzeiro do Sul,traffic,"[-7.2139427, -34.8404206]"
4738303560,fuel,Posto Opção,traffic,"[-7.1691297, -34.8384518]"
4738304370,fuel,Posto Extra Petróleo,traffic,"[-7.1742951, -34.8441971]"
4738304371,fuel,Posto BSB Mangabeira,traffic,"[-7.1777972, -34.840898]"
4738306420,fuel,Auto Posto Mangabeira,traffic,"[-7.1815442, -34.8432208]"
4738306421,fuel,Posto Cowboy,traffic,"[-7.2061992, -34.8465065]"
5812661112,fuel,Maxi Posto,traffic,"[-7.1634076, -34.9010512]"
5940709085,fuel,Posto Três Lagoas,traffic,"[-7.1677977, -34.8965195]"
6213466885,fuel,Posto 99,traffic,"[-7.1193123, -34.8372478]"
6257072263,fuel,Ale,traffic,"[-7.1196148, -34.8264685]"
6320951386,fuel,Independência,traffic,"[-7.1188021, -34.8696126]"
1672897885,railway_station,Renascer,transport,"[-7.0751731, -34.8552432]"
1672898551,railway_station,Mandacaru,transport,"[-7.0999537, -34.863719]"
2111531421,railway_station,João Pessoa,transport,"[-7.1147125, -34.8904061]"
2402984975,bus_stop,Jardim Aeroporto,transport,"[-7.1423361, -34.9405667]"
2447728167,railway_station,Alto do Mateus,transport,"[-7.1305401, -34.9133173]"
2531341342,bus_station,Terminal de Ônibus de Mangabeira IV,transport,"[-7.1887995, -34.8390882]"
2631201098,taxi,Táxi Mag Shopping,transport,"[-7.0975077, -34.8346527]"
2631884208,taxi,Táxi - Final da Epitácio Pessoa,transport,"[-7.1193317, -34.825286]"
2635340590,bus_station,Terminal de Ônibus de Muçumagro,transport,"[-7.2160927, -34.8316541]"
2635340603,bus_stop,603,transport,"[-7.068638, -34.844448]"
2635340605,bus_stop,603,transport,"[-7.06902, -34.844244]"
2635340612,bus_stop,603,transport,"[-7.071298, -34.84378]"
2635340615,bus_stop,603,transport,"[-7.072545, -34.843367]"
2635340616,bus_stop,603,transport,"[-7.073001, -34.843358]"
2635340620,bus_stop,603,transport,"[-7.074496, -34.842974]"
2635340630,bus_stop,603,transport,"[-7.0765272, -34.8416258]"
2635340631,bus_stop,603,transport,"[-7.0765511, -34.8414259]"
2635341171,bus_station,Terminal Miramar - Linha 402,transport,"[-7.1245901, -34.8367546]"
2635341843,bus_station,"Terminal Cristo Redentor - 204, 208, 3200, 5204",transport,"[-7.1664887, -34.8720017]"
2666903443,bus_stop,PB Rio/Santa Maria,transport,"[-7.1189631, -34.8893911]"
2666903444,bus_stop,Rodoviária Santa Rita,transport,"[-7.1189672, -34.8896211]"
2666903445,bus_stop,Metro Transportes/Das Graças,transport,"[-7.1189672, -34.8898552]"
2666903446,bus_stop,Reunidas Cabedelo,transport,"[-7.1189713, -34.8891775]"
2678085966,taxi,Ponto de Taxi Praça Castro Pinto,transport,"[-7.1257811, -34.8784998]"
3364653899,bus_stop,502 Torre,transport,"[-7.1216034, -34.8432341]"
3654699757,bus_station,Terminal Quadramares - Linha 203,transport,"[-7.1607674, -34.821127]"
3950854317,bus_station,Terminal de Ônibus do Val Paraíso,transport,"[-7.0810837, -34.8460186]"
3962688661,bus_stop,Plataforma 2,transport,"[-7.1183621, -34.8799703]"
3962688662,bus_stop,Plataforma 4,transport,"[-7.1185013, -34.8796975]"
3962688663,bus_stop,Plataforma 3,transport,"[-7.1184459, -34.8800927]"
3962688664,bus_stop,Plataforma 1,transport,"[-7.1184016, -34.8796542]"
3965038357,bus_stop,Plataforma 5,transport,"[-7.1191649, -34.8781408]"
6080516480,railway_station,Várzea Nova,transport,"[-7.1200292, -34.9554885]"
6080516483,railway_station,Bayeux,transport,"[-7.127485, -34.9280363]"
6122457532,bus_station,TERMINAL - HEITEL SANTIAGO,transport,"[-7.1672127, -34.9553807]"
415521473,town,Bayeux,place,"[-7.1301631, -34.936532]"
603066977,city,João Pessoa,place,"[-7.1215981, -34.882028]"
1080314863,village,Bebelândia,place,"[-7.0782454, -34.9593948]"
