osm_id,fclass,name,type,coordenates
2343943954,christian,IGREJA,pofw,"[-7.793516, -36.6611832]"
561522272,christian,Igreja das Graças,pofw,"[-8.0489938, -34.9013352]"
564834416,christian,Igreja do Rosário,pofw,"[-8.0892484, -34.8853147]"
565781490,christian,Igreja das Fronteiras,pofw,"[-8.0586347, -34.8967999]"
885619282,christian_catholic,Igreja de Nossa Senhora das Graças,pofw,"[-6.752717, -35.6174933]"
1418634052,christian,Santuário de Schoenstatt,pofw,"[-7.9947578, -34.8629414]"
1428207404,christian,Igreja São Salvador do Mundo,pofw,"[-8.0138273, -34.8491044]"
1654392819,christian,Igreja Metodista dos Guararapes,pofw,"[-8.1684262, -34.9336024]"
1686145882,christian_catholic,Igreja de São José,pofw,"[-6.7812032, -35.5778289]"
1803460269,christian,Santuário de Nossa Senhora das Graças,pofw,"[-7.2027369, -37.258957]"
2071507263,christian,SEJA - Sociedade Espírita Joanna de Ângelis,pofw,"[-7.254699, -35.8786693]"
2149260478,christian,Igreja do Cruzeiro,pofw,"[-7.7380249, -37.9892204]"
2532598046,christian_catholic,Paroquia da Madalena,pofw,"[-8.0521705, -34.907392]"
2572784212,christian_lutheran,Assembléia de Deus,pofw,"[-6.2622631, -35.2105961]"
2576246897,christian_catholic,Igreja do Sagrado Coração de Jesus,pofw,"[-8.0134684, -34.975669]"
2579154754,christian,Assembleia de Deus,pofw,"[-7.998419, -34.9783181]"
2589900020,christian,Igreja de Santa tereza,pofw,"[-8.0221117, -34.8594206]"
2593136739,christian,Assembleia de Deus,pofw,"[-7.8636785, -35.5905571]"
2593136751,christian,Capela de Santa Terezinha,pofw,"[-7.8454351, -35.587051]"
2593136763,christian,Igreja Adventista do Sétimo Dia,pofw,"[-7.8657005, -35.5883266]"
2593136764,christian,Igreja Matriz de Nossa Senhora Aparecida,pofw,"[-7.859178, -35.590272]"
2646462549,christian,Imagem de Nossa Senhora da Penha,pofw,"[-7.1320035, -34.8607479]"
2661130155,christian_catholic,Igreja Jesus Ressuscitado,pofw,"[-7.29207, -35.6150849]"
2672435019,christian_catholic,Igreja São Francisco de Assis,pofw,"[-7.2012746, -35.6456751]"
2673040338,christian,Igreja Matriz,pofw,"[-7.2672062, -35.2581139]"
2674031739,christian_catholic,Igreja Nossa Senhora de Assunção,pofw,"[-7.0751751, -36.7301235]"
2675035677,christian_catholic,Capela Jesus Misericordioso,pofw,"[-7.7778048, -37.0362876]"
2675578947,christian,Igreja Santa Rita de Cássia,pofw,"[-7.5284972, -34.8216782]"
2678752112,christian_catholic,Igreja de São Bento,pofw,"[-7.116527, -34.8845745]"
2697162306,christian,Igreja de Belém,pofw,"[-6.6958575, -35.5374603]"
2767705022,muslim,Torre do Atalaia,pofw,"[-6.9926077, -34.8875513]"
2797097528,christian,Federação Espírita Paraibana,pofw,"[-7.1240173, -34.869534]"
2889084347,buddhist,CEBB,pofw,"[-8.0413904, -34.8983822]"
2917511313,christian,Igreja da Matriz - Nossa Senhora da Guia,pofw,"[-6.4358579, -36.6389321]"
2919672501,christian,Igreja Nossa Senhora do Monte,pofw,"[-8.0036219, -34.8508717]"
2919672502,christian,Igreja Nossa Senhora dos Milagres,pofw,"[-8.0221331, -34.8522632]"
2919672503,christian_catholic,Igreja Nova Cruz,pofw,"[-7.8523372, -34.8432025]"
2919672505,christian,Igreja de São José do Fagundes,pofw,"[-6.9347742, -34.8685922]"
2919672512,christian_catholic,Igreja de Nossa Senhora do Bonsucesso,pofw,"[-6.8777009, -34.8967913]"
2919672977,christian,Igreja do Pilar,pofw,"[-7.7475967, -34.8248672]"
2919673059,christian,Igreja Presbiteriana da Boa Vista,pofw,"[-8.0601234, -34.8859798]"
2919673062,christian,Igreja da Imperatriz,pofw,"[-8.0628999, -34.885274]"
3039229973,christian,batista,pofw,"[-7.2917446, -35.6138546]"
3039230031,christian,mundial,pofw,"[-7.2918464, -35.6136776]"
3065204925,christian_catholic,Igreja Nossa Senhora do Rosário,pofw,"[-7.1328424, -34.8795035]"
3190979924,christian,Salão do Reino das Testemunhas de Jeová,pofw,"[-7.9471604, -34.8995019]"
3194795258,christian,Quadrangular,pofw,"[-8.0212435, -34.9205255]"
3203334716,christian_catholic,Nossa Senhora da Saúde,pofw,"[-8.0367904, -34.9253394]"
3247872163,christian,Igreja Evangélica Congregacional Vale da Bênção,pofw,"[-7.9863777, -38.2859562]"
3402271426,christian,Igreja São Paulo,pofw,"[-7.8061057, -34.8407759]"
3428646843,christian_catholic,Convento Ipuarana,pofw,"[-7.1615986, -35.8530371]"
3594450670,christian,Igreja Matriz(Paróquia Senhor Bom Jesus dos Aflitos),pofw,"[-7.9587926, -36.1992201]"
3633687797,christian,Igreja São Pedro e São Paulo,pofw,"[-7.1110992, -34.8413008]"
3656869789,christian,Capela,pofw,"[-6.9104542, -37.5153899]"
3660372594,christian_catholic,Cruz de São José,pofw,"[-6.9018717, -37.5532284]"
3723550428,christian,Igreja de Jesus Cristo dos Santos dos Últimos Dias,pofw,"[-8.0931635, -34.910638]"
3814908405,christian,Igreja Matriz de Nossa Senhora da Conceição,pofw,"[-6.5280759, -35.7404296]"
3835812958,christian,Igreja Santa Luzia,pofw,"[-8.2488071, -36.1525878]"
3878066439,christian_catholic,Igreja de São José,pofw,"[-7.9051442, -35.9886558]"
4176720363,christian_catholic,Estátua de Senhora do Livramento,pofw,"[-6.7529521, -35.6316854]"
4196888095,christian_catholic,Igreja de São Sebastião,pofw,"[-6.4804184, -35.4311758]"
4213001582,christian,alto do cruzeiro,pofw,"[-6.5294794, -37.7203164]"
4217880690,christian,Igreja Matriz de Nossa Senhora do Desterro,pofw,"[-6.7388658, -37.5674324]"
4254531549,christian_catholic,Catedral Diocesana Nossa Senhora da Conceição,pofw,"[-7.2183894, -35.8813284]"
4266369541,christian,Igreja Santa Rita de Cássia,pofw,"[-6.2313125, -36.0204083]"
4427684662,christian_catholic,Igreja de Santo Antônio,pofw,"[-6.1871293, -35.0913452]"
4452476514,christian,Catedral de Nossa Senhora da Guia,pofw,"[-7.0279323, -37.2760785]"
4467151530,christian_catholic,Cruz do Pilar,pofw,"[-7.7487489, -34.8216422]"
4474021958,christian,Igreja Presbiteriana,pofw,"[-8.1405694, -34.9144834]"
4474143070,christian_catholic,Igreja de São Sebastião,pofw,"[-7.0184444, -37.2747149]"
4490728792,christian,Templo de Recife,pofw,"[-8.0363205, -34.9110882]"
4514548838,christian,Igreja Matriz de Nossa Senha da Boa Viagem,pofw,"[-7.037986, -35.6338336]"
4520987255,christian,Igreja Batista,pofw,"[-7.1528787, -34.8382966]"
4540027311,christian,Igreja de Santo Onofre,pofw,"[-6.9965751, -36.7127509]"
4549999751,christian,Igreja Jesus Ressuscitado,pofw,"[-7.1502312, -34.8446522]"
4555702015,christian,São João Batista,pofw,"[-7.2851769, -34.8021431]"
4608812473,christian,Igreja de Santo Amaro,pofw,"[-8.1096621, -35.0194424]"
4675399736,christian_catholic,Igreja de São Sebastião,pofw,"[-8.2415639, -35.7525805]"
4676590436,christian_protestant,Igreja Uiversal do Catolé,pofw,"[-7.2342199, -35.8769183]"
4676590437,christian_protestant,Igreja Evangélica Congregacional do Catolé,pofw,"[-7.2352595, -35.8765836]"
4676590440,christian_catholic,Capela Cristo Rei,pofw,"[-7.2340386, -35.8781916]"
4676852669,christian,Casa de Davi Casa de Oração,pofw,"[-7.2333486, -35.8786886]"
4685466973,christian,Igreja de São Francisco de Assis,pofw,"[-6.3177689, -38.2834367]"
4711941398,christian_catholic,Capela de Russinha,pofw,"[-8.1538616, -35.4591606]"
4712229086,christian_evangelical,Assembleia de Deus em Nova Cru,pofw,"[-7.8506415, -34.8433337]"
4712230790,christian,Igreja Batista de Maria Farinha,pofw,"[-7.85258, -34.8397645]"
314983824,peak,Mulungu,natural,"[-6.7055662, -37.1662316]"
539167643,peak,Serra da Formosa,natural,"[-6.7096044, -37.0035796]"
539189516,peak,Serra do Balanço,natural,"[-6.9932254, -38.7651073]"
1729179728,peak,Serra do Pico de Malta,natural,"[-6.8803792, -37.5244636]"
1729192486,peak,Pico do Jabre,natural,"[-7.2532423, -37.383933]"
1746873778,peak,Cruzeiro de São José,natural,"[-6.9017169, -37.5533722]"
1746873779,peak,Cruzeiro Nossa Senhora da Conceição,natural,"[-6.9153146, -37.5177605]"
1746883543,peak,Pico da Serra do Tronco,natural,"[-6.8582686, -37.4306011]"
1771630942,peak,Serrote Campo Alegre,natural,"[-6.9806778, -37.3413819]"
1779985287,peak,Espinho Branco,natural,"[-7.0638379, -37.3008185]"
1803458056,peak,Pedra do Cruzeiro,natural,"[-7.2240047, -37.2516288]"
1883266573,peak,Serrote do Tigre,natural,"[-6.7577801, -37.9918411]"
2312274002,peak,Pico do Papagaio,natural,"[-7.8227375, -38.0560413]"
2380755871,peak,Serrote Macado,natural,"[-7.5942696, -36.1729472]"
2567419125,peak,Alto do Tem Dó,natural,"[-7.0891308, -36.8003418]"
2572205502,peak,Morro do São Joãozinho,natural,"[-7.3053122, -36.3300286]"
2574387608,tree,Baobá de Nísia,natural,"[-6.0915299, -35.207887]"
2596009046,peak,Serra do Boqueirão,natural,"[-7.1906779, -35.4066579]"
2596009047,peak,Morro do Sino,natural,"[-7.2200982, -35.4030101]"
2673028504,peak,Pedra Bico,natural,"[-7.4666697, -35.5251012]"
2673028505,peak,Pico Stant,natural,"[-7.4663123, -35.5270685]"
2675534835,peak,Serra da Coruja,natural,"[-6.8661581, -35.5285562]"
2675578898,beach,Barra de Grau,natural,"[-7.387142, -34.803117]"
2675579030,beach,Praia Azul Pitimbu,natural,"[-7.4709162, -34.804109]"
2675579036,beach,Praia Bela-PB,natural,"[-7.398405, -34.8055515]"
2675579038,beach,Praia Ponta de Coqueiro,natural,"[-7.5209846, -34.8152885]"
2675579041,beach,Praia das Falésias Pitimbu,natural,"[-7.461863, -34.810173]"
2845226826,peak,Pico do Yayu,natural,"[-6.9366449, -36.9921083]"
3162126647,beach,Praia do Xaréu,natural,"[-8.3023926, -34.9484252]"
3162126654,beach,Praia Itapuama,natural,"[-8.2972436, -34.9528456]"
3260006050,tree,leucena,natural,"[-8.0619046, -34.911569]"
3709498576,peak,Pico da Serra do Trapuã,natural,"[-7.8242615, -35.2254564]"
3715432197,tree,Baobá das Graças,natural,"[-8.0414055, -34.9045301]"
3777497051,peak,Serrote do Gavião,natural,"[-7.9967404, -37.1827118]"
