"osm_id","fclass","name","type","geometry"
"229612907","parking","Estacionamento Spazzio","traffic","010600000001000000010300000001000000090000007B9054956CEF41C0139D6516A1F81CC07B9054956CEF41C0C83956CE83F81CC0C3F759C05FEF41C07AF601EDB3F71CC0E955AE015BEF41C0C185E1C8A8F71CC03646A11B50EF41C08E379E74C7F71CC0A6DB6D7253EF41C035BD1F1219F91CC041F4A44C6AEF41C06CA4B61ECFF81CC0E113460E6CEF41C0D6146D33BAF81CC07B9054956CEF41C0139D6516A1F81CC0"
"196858078","industrial","Gerdau","land use","01060000000100000001030000000100000005000000F0D12C1A7CF041C0CDDDF824C1051DC08A986D0267F041C0B99C5C9DAD051DC055B9F53F65F041C0F900930A19061DC0EB2E9ADF7AF041C011DF89592F061DC0F0D12C1A7CF041C0CDDDF824C1051DC0"
"244113487","parking","Estacionamento Hiper Bompreço","traffic","01060000000100000001030000000100000008000000920B299A62F141C083D261CFE8E81CC01866FC5646F141C0B2497EC4AFE81CC0F9049A1947F141C0581A9D989AE91CC034CF5B8649F141C0A6A3778599E91CC0043752B648F141C00FF340BF4AE91CC0C378173955F141C00D71AC8BDBE81CC0AAC3C02962F141C010B8640BF7E81CC0920B299A62F141C083D261CFE8E81CC0"
"261099864","parking","Estacionamento Externo do Partage Shopping","traffic","010600000001000000010300000001000000060000006B1B351598EF41C09F32480BE1F21CC04E863EB37FEF41C0DB21B4D430F21CC07379BD4571EF41C05032DEFBC0F21CC066834C3272EF41C0BFD364C6DBF21CC01968887489EF41C0412B306475F31CC06B1B351598EF41C09F32480BE1F21CC0"
"290883952","parking","Estacionamento do Shopping Luiza Mota","traffic","0106000000010000000103000000010000000B000000B689EEB490F041C0815B77F354EF1CC0D446753A90F041C0F135BA394BEF1CC08DB454DE8EF041C0552305604DEF1CC01541F74086F041C07842AF3F89EF1CC0412E71E481F041C05C78B9E3A8EF1CC0CB4BFE277FF041C06D3CD862B7EF1CC04FEED2E17CF041C01B704C05CBEF1CC0A21A40097DF041C0E92400A4DBEF1CC0723447567EF041C0755AB741EDEF1CC03F879E3990F041C02ECBD765F8EF1CC0B689EEB490F041C0815B77F354EF1CC0"
"325048232","parking","Estacionamento Rotativo","traffic","01060000000100000001030000000100000006000000B4F688E29FF141C0738F5B8242E31CC070A422049AF141C05871AAB530E31CC0381A1B1593F141C0BEC0AC50A4E31CC084F3A96395F141C0FCDF1115AAE31CC01E98929B97F141C06F34DB70B3E31CC0B4F688E29FF141C0738F5B8242E31CC0"
"325992052","parking","Estacionamento do Hospital de Traumas Dom Luiz Gonzaga Fernandes","traffic","010600000001000000010300000001000000070000008EBFFE356AF741C0DD6FFE70A1F41CC00D99E1F54FF741C070D05E7D3CF41CC052AF004B53F741C03F671C3405F41CC08BFF3BA242F741C0E662C21EC9F31CC0C522E1D638F741C0236B685E69F41CC02CDE23F664F741C0C2734A9B05F51CC08EBFFE356AF741C0DD6FFE70A1F41CC0"
"361454701","parking_multistorey","Estacionamento Partage Shopping","traffic","010600000001000000010300000001000000090000006C38D15389EF41C06CCABA2473F11CC085ED27637CEF41C054EBB3B920F11CC05E8022BB77EF41C01F0A0B934EF11CC0FD6B79E57AEF41C06033654C66F11CC01A06E22B70EF41C0F1603024CCF11CC070BAC0406BEF41C02D3CD45BA8F11CC048A066ED5BEF41C05620C4DF40F21CC01D6041F56AEF41C0C1F231699DF21CC06C38D15389EF41C06CCABA2473F11CC0"
"426143040","parking","Estacionamento da Catedral Diocesana Nossa Senhora da Conceição","traffic","010600000001000000010300000001000000050000002DCA11D7D6F041C0A91B83A9C1DF1CC000169E3CD1F041C00D3F9358ADDF1CC0D90AF54FCBF041C03C6C223317E01CC03C1AE2B3D0F041C02C1F93D629E01CC02DCA11D7D6F041C0A91B83A9C1DF1CC0"
"426143041","parking","Estacionamento do Rede Compras","traffic","010600000001000000010300000001000000070000007F9CD5A7C1F041C0F631D582CDDF1CC063D75130BEF041C080608E1EBFDF1CC0DA63D817BFF041C023337271AFDF1CC013398E69B7F041C07B9F4F8990DF1CC02C5382B4B5F041C0E4839ECDAADF1CC020AE4104C1F041C00139BC7BDBDF1CC07F9CD5A7C1F041C0F631D582CDDF1CC0"
